Sample_id,Date_of_Collection,Month_of_Collection,Quarter_of_Collection,Year_of_Collection,Subnational_level0,Subnational_level1,Subnational_level2,Longitude,Latitude
ID00001,11/4/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00002,11/6/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00003,11/6/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00004,11/6/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00005,11/7/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00006,11/7/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00007,11/10/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00008,11/9/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00009,11/10/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00010,11/14/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00011,11/14/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00012,11/19/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00013,11/30/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00014,12/3/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00015,12/3/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00016,12/4/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00017,12/4/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00018,12/5/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00019,12/10/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00020,12/12/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00021,12/14/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00022,12/15/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00023,12/16/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00024,12/16/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00025,12/16/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00026,12/12/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00027,12/18/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00028,12/23/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00029,12/23/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00030,12/23/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00031,3/4/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00032,12/30/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00033,3/4/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00034,1/5/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00035,1/5/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00036,1/6/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00037,1/9/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00038,1/12/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00039,1/12/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00040,1/13/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00041,1/13/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00042,1/18/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00043,1/15/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00044,1/21/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00045,1/25/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00046,1/27/21,2021-01,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00047,2/2/21,2021-02,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00048,2/2/21,2021-02,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00049,2/2/21,2021-02,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00050,2/10/21,2021-02,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00051,2/18/21,2021-02,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00052,2/22/21,2021-02,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00053,3/3/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00054,3/9/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00055,3/9/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00056,3/15/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00057,3/16/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00058,3/16/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00059,3/20/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00060,3/23/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00061,3/23/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00062,3/24/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00063,3/26/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00064,3/26/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00065,3/27/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00066,3/30/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00067,3/30/21,2021-03,2021-Q1,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00068,4/7/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00069,4/8/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00070,4/8/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00071,4/19/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00072,4/20/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00073,4/20/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00074,4/23/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00075,4/20/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00076,4/26/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00077,4/26/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00078,4/27/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00079,4/28/21,2021-04,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00080,5/12/21,2021-05,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00081,5/12/21,2021-05,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00082,5/14/21,2021-05,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00083,5/14/21,2021-05,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00084,5/18/21,2021-05,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00085,5/20/21,2021-05,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00086,6/1/21,2021-06,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00087,6/2/21,2021-06,2021-Q2,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00088,7/6/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00089,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00090,7/7/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00091,7/22/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00092,7/22/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00093,7/23/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00094,7/27/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00095,7/29/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00096,7/29/21,2021-07,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00097,8/2/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00098,8/2/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00099,8/2/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00100,8/3/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00101,8/3/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00102,8/9/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00103,8/6/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00104,8/11/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00105,8/11/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00106,8/11/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00107,8/11/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00108,8/13/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00109,8/17/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00110,8/17/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00111,8/17/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00112,8/17/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00113,8/19/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00114,8/20/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00115,8/20/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00116,8/20/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00117,8/20/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00118,8/21/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00119,8/23/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00120,8/27/21,2021-08,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00121,9/1/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00122,9/1/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00123,9/3/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00124,9/3/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00125,9/6/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00126,9/7/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00127,9/21/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00128,9/16/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00129,9/17/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00130,9/17/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00131,9/14/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00132,9/18/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00133,9/20/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00134,9/20/21,2021-09,2021-Q3,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00135,10/4/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
