loci,loci_ampl_rate_Total,loci_ampl_rate_Buenaventura,loci_ampl_rate_Quibdó,loci_ampl_rate_Guapi,loci_ampl_rate_Tumaco,loci_ampl_rate_Puerto Inírida
PF3D7_0103600,0.70516717325228,0.754166666666667,0.763793103448276,0.623608017817372,0.833333333333333,0.310344827586207
PF3D7_0104100_1,0.860942249240122,0.841666666666667,0.853448275862069,0.913140311804009,0.944444444444444,0.310344827586207
PSOP24,0.927051671732523,0.891666666666667,0.925862068965517,0.968819599109131,0.944444444444444,0.586206896551724
PF3D7_0207300,0.859422492401216,0.85,0.853448275862069,0.913140311804009,0.944444444444444,0.172413793103448
PfSERA3,0.770516717325228,0.7125,0.758620689655172,0.855233853006682,0.944444444444444,0.0689655172413793
PfSERA2_1,0.908054711246201,0.879166666666667,0.9,0.962138084632517,0.944444444444444,0.448275862068966
PF3D7_0211700,0.912613981762918,0.883333333333333,0.912068965517241,0.957683741648107,0.944444444444444,0.448275862068966
PF3D7_0212800,0.332826747720365,0.25,0.417241379310345,0.291759465478842,0.277777777777778,0
PF3D7_0217200,0.561550151975684,0.716666666666667,0.629310344827586,0.405345211581292,0.888888888888889,0.137931034482759
PF3D7_0220800,0.644376899696049,0.458333333333333,0.837931034482759,0.516703786191537,0.5,0.379310344827586
PfCSP_1,0.813829787234043,0.754166666666667,0.805172413793103,0.89977728285078,0.944444444444444,0.0689655172413793
PF3D7_0311900,0.462765957446808,0.458333333333333,0.529310344827586,0.405345211581292,0.5,0.0344827586206896
B9,0.91565349544073,0.895833333333333,0.917241379310345,0.955456570155902,0.944444444444444,0.413793103448276
PF3D7_0401900,0.873100303951368,0.875,0.870689655172414,0.906458797327394,0.944444444444444,0.344827586206897
ASP,0.634498480243161,0.670833333333333,0.686206896551724,0.579064587973274,0.833333333333333,0.0344827586206896
Pfs16,0.922492401215805,0.891666666666667,0.920689655172414,0.962138084632517,0.944444444444444,0.586206896551724
PF3D7_0411900_1,0.914133738601824,0.9,0.906896551724138,0.955456570155902,0.944444444444444,0.517241379310345
PF3D7_0411900_2,0.882218844984802,0.858333333333333,0.867241379310345,0.944320712694877,0.944444444444444,0.379310344827586
PfDHFR_1,0.908054711246201,0.8875,0.905172413793103,0.957683741648107,0.944444444444444,0.344827586206897
PfDHFR_2,0.894376899696049,0.875,0.886206896551724,0.948775055679287,0.944444444444444,0.344827586206897
PF3D7_0419900_2,0.917933130699088,0.879166666666667,0.910344827586207,0.973273942093541,0.944444444444444,0.517241379310345
PF3D7_0422500,0.898176291793313,0.870833333333333,0.891379310344828,0.951002227171492,0.944444444444444,0.413793103448276
PF3D7_0424400,0.645896656534954,0.5,0.701724137931034,0.690423162583519,0.722222222222222,0
PF3D7_0501800,0.901975683890577,0.883333333333333,0.903448275862069,0.937639198218263,0.944444444444444,0.448275862068966
PF3D7_0503200,0.865501519756839,0.858333333333333,0.851724137931035,0.922048997772829,0.944444444444444,0.275862068965517
PF3D7_0504400,0.914133738601824,0.875,0.91551724137931,0.964365256124722,0.944444444444444,0.413793103448276
P38,0.794072948328267,0.783333333333333,0.789655172413793,0.841870824053452,0.944444444444444,0.137931034482759
PF3D7_0508900,0.750759878419453,0.783333333333333,0.789655172413793,0.719376391982183,0.944444444444444,0.0689655172413793
PF3D7_0519300,0.898936170212766,0.870833333333333,0.887931034482759,0.953229398663697,0.944444444444444,0.482758620689655
PfMDR1_1,0.768237082066869,0.729166666666667,0.779310344827586,0.819599109131403,0.833333333333333,0.0344827586206896
PfMDR1_2,0.641337386018237,0.558333333333333,0.667241379310345,0.685968819599109,0.833333333333333,0
PfMDR1_3,0.86322188449848,0.8375,0.856896551724138,0.926503340757238,0.944444444444444,0.172413793103448
PfMDR1_4,0.632978723404255,0.529166666666667,0.682758620689655,0.65924276169265,0.777777777777778,0
PF3D7_0525100,0.887537993920973,0.866666666666667,0.879310344827586,0.946547884187082,0.944444444444444,0.275862068965517
PF3D7_0612900,0.905015197568389,0.879166666666667,0.896551724137931,0.957683741648107,0.944444444444444,0.448275862068966
PF3D7_0615900,0.860182370820669,0.841666666666667,0.86551724137931,0.897550111358575,0.888888888888889,0.310344827586207
MSP10,0.894376899696049,0.879166666666667,0.881034482758621,0.955456570155902,0.944444444444444,0.310344827586207
CS,0.850303951367781,0.8375,0.853448275862069,0.88641425389755,0.944444444444444,0.275862068965517
PF3D7_0630600,0.9209726443769,0.895833333333333,0.917241379310345,0.962138084632517,0.944444444444444,0.551724137931034
RAMA,0.907294832826748,0.875,0.898275862068965,0.966592427616927,0.944444444444444,0.413793103448276
