Sample_id,order_in_plate,typeofSamp,Run,Country
Undetermined,0,Controls,Run1,Controls
Negative-ControlPlate,14,Controls,Run1,Controls
Negative-Alt-sWGA-bc,50,Controls,Run1,Controls
Negative-Alt-sWGA-Dilution,86,Controls,Run1,Controls
Dd2-Control-Gates057,155,Controls,Run2,Controls
Pv-Control-sWGA2-D02,59,Controls,Run2,Controls
PCR-Control-D06-Gates058,234,Controls,Run2,Controls
Negative-Control-Gates058,206,Controls,Run2,Controls
PCR-Control-D06-Gates056,42,Controls,Run2,Controls
Negative-Control-Gates057,110,Controls,Run2,Controls
Negative-Control-Venez005,350,Controls,Run2,Controls
Dd2-Control-Gates058,251,Controls,Run2,Controls
PCR-Control-Venez005,378,Controls,Run2,Controls
PCR-Control-Gates070,330,Controls,Run2,Controls
PCR-Control-G09-Gates056,81,Controls,Run2,Controls
PCR-Control-G09-Gates057,177,Controls,Run2,Controls
PCR-Control-G09-Gates058,273,Controls,Run2,Controls
PCR-Control-D06-Gates057,138,Controls,Run2,Controls
Region9-PCR-Control,392,Controls,Run2,Controls
Negative-Control-Gates070,302,Controls,Run2,Controls
Negative-Control-Gates056,14,Controls,Run2,Controls
