loci,loci_ampl_rate_Total,loci_ampl_rate_Honduras,loci_ampl_rate_Guyana,loci_ampl_rate_Venezuela,loci_ampl_rate_Colombia
PVP01_0103700_1,0.574688796680498,0.401960784313726,0.548611111111111,0.847826086956522,0.847826086956522
PVP01_0103700_2,0.609958506224066,0.352941176470588,0.628472222222222,0.804347826086957,0.869565217391304
RAMA,0.244813278008299,0.333333333333333,0.121527777777778,0.478260869565217,0.58695652173913
PVP01_0107900,0,0,0,0,0
MED14,0.329875518672199,0.235294117647059,0.243055555555556,0.695652173913043,0.717391304347826
PVP01_0109700_1,0.342323651452282,0.372549019607843,0.246527777777778,0.41304347826087,0.804347826086957
PVP01_0109700_2,0.257261410788382,0.274509803921569,0.1875,0.565217391304348,0.347826086956522
PVP01_0116700,0.178423236514523,0.313725490196078,0.0763888888888888,0.369565217391304,0.326086956521739
PVP01_0117000,0.553941908713693,0.352941176470588,0.545138888888889,0.804347826086957,0.804347826086957
PVP01_0119600,0.304979253112033,0.117647058823529,0.298611111111111,0.673913043478261,0.391304347826087
PVP01_0202600,0.566390041493776,0.303921568627451,0.586805555555556,0.804347826086957,0.782608695652174
pvmrp1_2,0.692946058091286,0.5,0.71875,0.869565217391304,0.782608695652174
pvmrp1_3,0.780082987551867,0.558823529411765,0.819444444444444,0.891304347826087,0.91304347826087
pvmrp1_6,0.717842323651452,0.480392156862745,0.756944444444444,0.847826086956522,0.869565217391304
pvmrp1_7,0.761410788381743,0.470588235294118,0.815972222222222,0.91304347826087,0.91304347826087
pvmrp1_8,0.572614107883817,0.392156862745098,0.555555555555556,0.804347826086957,0.847826086956522
pvmrp1_10,0.695020746887967,0.450980392156863,0.71875,0.891304347826087,0.891304347826087
pvmrp1_12,0.597510373443983,0.176470588235294,0.663194444444444,0.869565217391304,0.847826086956522
PSOP24,0.109958506224066,0.245098039215686,0.0277777777777778,0.195652173913043,0.239130434782609
CCR4-3,0.105809128630705,0.5,0,0,0
PVP01_0210500,0.29253112033195,0.205882352941177,0.225694444444444,0.652173913043478,0.543478260869565
VPS53,0.616182572614108,0.450980392156863,0.597222222222222,0.826086956521739,0.891304347826087
PVP01_0213400,0.00414937759336098,0.0196078431372549,0,0,0
PVP01_0215600,0.603734439834025,0.46078431372549,0.576388888888889,0.847826086956522,0.847826086956522
PVP01_0215800_1,0.410788381742739,0.313725490196078,0.347222222222222,0.760869565217391,0.673913043478261
PVP01_0215800_2,0.643153526970954,0.509803921568627,0.625,0.847826086956522,0.847826086956522
PVP01_0302300,0.448132780082988,0.0980392156862745,0.451388888888889,0.804347826086957,0.847826086956522
PVP01_0302700,0.649377593360996,0.362745098039216,0.677083333333333,0.847826086956522,0.91304347826087
SEC24B,0.514522821576763,0.274509803921569,0.506944444444444,0.760869565217391,0.847826086956522
