Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
104-GZ-Alt-sWGA-Dilution,85,Samples,Run1,Honduras,Honduras,0.651041666666667
104-GZ-Alt-sWGA-bc,49,Samples,Run1,Honduras,Honduras,0.604166666666667
104-GZ-Control,13,Samples,Run1,Honduras,Honduras,0.34375
107-GZ-Alt-sWGA-Dilution,81,Samples,Run1,Honduras,Honduras,0.692708333333333
107-GZ-Alt-sWGA-bc,45,Samples,Run1,Honduras,Honduras,0.640625
107-GZ-Control,9,Samples,Run1,Honduras,Honduras,0.302083333333333
110-GZ-Alt-sWGA-Dilution,79,Samples,Run1,Honduras,Honduras,0.739583333333333
110-GZ-Alt-sWGA-bc,43,Samples,Run1,Honduras,Honduras,0.755208333333333
110-GZ-Control,7,Samples,Run1,Honduras,Honduras,0.28125
116-GZ-Alt-sWGA-Dilution,78,Samples,Run1,Honduras,Honduras,0.828125
116-GZ-Alt-sWGA-bc,42,Samples,Run1,Honduras,Honduras,0.8125
116-GZ-Control,6,Samples,Run1,Honduras,Honduras,0.380208333333333
118-GZ-Alt-sWGA-Dilution,87,Samples,Run1,Honduras,Honduras,0.71875
118-GZ-Alt-sWGA-bc,51,Samples,Run1,Honduras,Honduras,0.734375
118-GZ-Control,15,Samples,Run1,Honduras,Honduras,0.484375
127-GZ-Alt-sWGA-Dilution,104,Samples,Run1,Honduras,Honduras,0.375
127-GZ-Alt-sWGA-bc,68,Samples,Run1,Honduras,Honduras,0.0416666666666666
127-GZ-Control,32,Samples,Run1,Honduras,Honduras,0.348958333333333
159-GZ-Alt-sWGA-Dilution,100,Samples,Run1,Honduras,Honduras,0
165-GZ-Alt-sWGA-Dilution,102,Samples,Run1,Honduras,Honduras,0.776041666666667
165-GZ-Alt-sWGA-bc,66,Samples,Run1,Honduras,Honduras,0.255208333333333
165-GZ-Control,30,Samples,Run1,Honduras,Honduras,0.479166666666667
174-GZ-Alt-sWGA-Dilution,94,Samples,Run1,Honduras,Honduras,0.614583333333333
174-GZ-Alt-sWGA-bc,58,Samples,Run1,Honduras,Honduras,0.791666666666667
174-GZ-Control,22,Samples,Run1,Honduras,Honduras,0.34375
175-GZ-Alt-sWGA-Dilution,89,Samples,Run1,Honduras,Honduras,0.661458333333333
175-GZ-Alt-sWGA-bc,53,Samples,Run1,Honduras,Honduras,0.723958333333333
175-GZ-Control,17,Samples,Run1,Honduras,Honduras,0.317708333333333
182-GZ-Alt-sWGA-Dilution,107,Samples,Run1,Honduras,Honduras,0.0208333333333334
182-GZ-Alt-sWGA-bc,71,Samples,Run1,Honduras,Honduras,0.307291666666667
182-GZ-Control,35,Samples,Run1,Honduras,Honduras,0.25
183-GZ-Alt-sWGA-Dilution,96,Samples,Run1,Honduras,Honduras,0.760416666666667
183-GZ-Alt-sWGA-bc,60,Samples,Run1,Honduras,Honduras,0.791666666666667
183-GZ-Control,24,Samples,Run1,Honduras,Honduras,0.484375
190-GZ-Alt-sWGA-Dilution,73,Samples,Run1,Honduras,Honduras,0.697916666666667
190-GZ-Alt-sWGA-bc,37,Samples,Run1,Honduras,Honduras,0.614583333333333
190-GZ-Control,1,Samples,Run1,Honduras,Honduras,0.260416666666667
193-GZ-Alt-sWGA-Dilution,76,Samples,Run1,Honduras,Honduras,0.640625
193-GZ-Alt-sWGA-bc,40,Samples,Run1,Honduras,Honduras,0.651041666666667
193-GZ-Control,4,Samples,Run1,Honduras,Honduras,0.276041666666667
