Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
104-GZ-Alt-sWGA-Dilution,85,Samples,Run1,Honduras,Honduras,0.651041666666667
104-GZ-Alt-sWGA-bc,49,Samples,Run1,Honduras,Honduras,0.604166666666667
107-GZ-Alt-sWGA-Dilution,81,Samples,Run1,Honduras,Honduras,0.692708333333333
107-GZ-Alt-sWGA-bc,45,Samples,Run1,Honduras,Honduras,0.640625
110-GZ-Alt-sWGA-Dilution,79,Samples,Run1,Honduras,Honduras,0.739583333333333
110-GZ-Alt-sWGA-bc,43,Samples,Run1,Honduras,Honduras,0.755208333333333
116-GZ-Alt-sWGA-Dilution,78,Samples,Run1,Honduras,Honduras,0.828125
116-GZ-Alt-sWGA-bc,42,Samples,Run1,Honduras,Honduras,0.8125
118-GZ-Alt-sWGA-Dilution,87,Samples,Run1,Honduras,Honduras,0.71875
118-GZ-Alt-sWGA-bc,51,Samples,Run1,Honduras,Honduras,0.734375
165-GZ-Alt-sWGA-Dilution,102,Samples,Run1,Honduras,Honduras,0.776041666666667
174-GZ-Alt-sWGA-Dilution,94,Samples,Run1,Honduras,Honduras,0.614583333333333
174-GZ-Alt-sWGA-bc,58,Samples,Run1,Honduras,Honduras,0.791666666666667
175-GZ-Alt-sWGA-Dilution,89,Samples,Run1,Honduras,Honduras,0.661458333333333
175-GZ-Alt-sWGA-bc,53,Samples,Run1,Honduras,Honduras,0.723958333333333
183-GZ-Alt-sWGA-Dilution,96,Samples,Run1,Honduras,Honduras,0.755208333333333
183-GZ-Alt-sWGA-bc,60,Samples,Run1,Honduras,Honduras,0.786458333333333
190-GZ-Alt-sWGA-Dilution,73,Samples,Run1,Honduras,Honduras,0.697916666666667
190-GZ-Alt-sWGA-bc,37,Samples,Run1,Honduras,Honduras,0.614583333333333
193-GZ-Alt-sWGA-Dilution,76,Samples,Run1,Honduras,Honduras,0.640625
193-GZ-Alt-sWGA-bc,40,Samples,Run1,Honduras,Honduras,0.651041666666667
200-GZ-Alt-sWGA-bc,67,Samples,Run1,Honduras,Honduras,0.625
201-GZ-Alt-sWGA-Dilution,84,Samples,Run1,Honduras,Honduras,0.723958333333333
201-GZ-Alt-sWGA-bc,48,Samples,Run1,Honduras,Honduras,0.817708333333333
201-GZ-Control,12,Samples,Run1,Honduras,Honduras,0.536458333333333
213-GZ-Alt-sWGA-Dilution,93,Samples,Run1,Honduras,Honduras,0.59375
213-GZ-Alt-sWGA-bc,57,Samples,Run1,Honduras,Honduras,0.692708333333333
PF-230-Alt-sWGA-Dilution,74,Samples,Run1,Honduras,Honduras,0.645833333333333
PF-230-Alt-sWGA-bc,38,Samples,Run1,Honduras,Honduras,0.677083333333333
PF-428-Alt-sWGA-Dilution,77,Samples,Run1,Honduras,Honduras,0.84375
PF-428-Alt-sWGA-bc,41,Samples,Run1,Honduras,Honduras,0.859375
G4G0523,98,Samples,Run2,Guyana,Guyana,0.765625
G4G0534,20,Samples,Run2,Guyana,Guyana,0.786458333333333
G4G0539,62,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G0546,15,Samples,Run2,Guyana,Guyana,0.723958333333333
G4G0567,18,Samples,Run2,Guyana,Guyana,0.838541666666667
G4G0784,270,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G0943,252,Samples,Run2,Guyana,Guyana,0.567708333333333
G4G0952,150,Samples,Run2,Guyana,Guyana,0.625
G4G0954,253,Samples,Run2,Guyana,Guyana,0.9375
