Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate,Total_ReadDepth,Mean_ReadDepth,SD_ReadDepth,Median_ReadDepth,IQR_ReadDepth,q25_ReadDepth,q75_ReadDepth,SamplePlate_ID,SamplePlate_Well_Position,Parasite_qPCR,Cq,Parasite_Concentration
104-GZ,85,Samples,Run1,Honduras,Honduras,0.651041666666667,75078,600.624,1412.96792799709,70,314,21,335,Honduras 003,B01,P. vivax,20.1878144626197,65.4412633361302
107-GZ,81,Samples,Run1,Honduras,Honduras,0.692708333333333,91587,688.624060150376,2493.41312139849,48,213,16,229,Honduras 003,A09,P. vivax,20.7990561228053,38.6420862591246
110-GZ,43,Samples,Run1,Honduras,Honduras,0.755208333333333,152063,1048.71034482759,3199.49415037675,77,301,23,324,Honduras 003,A07,P. vivax,18.2999429029167,333.036906580339
116-GZ,78,Samples,Run1,Honduras,Honduras,0.828125,94370,593.522012578616,1644.32220208182,69,290.5,21,311.5,Honduras 003,A06,P. vivax,17.1129796015811,926.358826827661
118-GZ,51,Samples,Run1,Honduras,Honduras,0.734375,72734,515.843971631206,2258.40092380076,55,144,23,167,Honduras 003,B03,P. vivax,18.1594048685003,375.920943288124
165-GZ,102,Samples,Run1,Honduras,Honduras,0.776041666666667,57409,385.295302013423,1272.29040913641,55,207,21,228,Honduras 003,C06,P. vivax,15.592645781031,3434.38152880706
174-GZ,58,Samples,Run1,Honduras,Honduras,0.791666666666667,82568,543.21052631579,1895.30278428722,61,222.5,19,241.5,Honduras 003,B10,P. vivax,19.9649428090963,79.300104245248
175-GZ,53,Samples,Run1,Honduras,Honduras,0.723958333333333,84324,606.647482014389,1854.18670347738,81,347,20.5,367.5,Honduras 003,B05,P. vivax,19.9115630302604,83.0336449151265
183-GZ,60,Samples,Run1,Honduras,Honduras,0.791666666666667,118231,777.83552631579,2714.79007870678,90,315,26,341,Honduras 003,B12,P. vivax,18.8817063260972,201.713572331233
190-GZ,73,Samples,Run1,Honduras,Honduras,0.697916666666667,78823,588.231343283582,1844.16718744555,63.5,400.5,23.25,423.75,Honduras 003,A01,P. vivax,22.3526159177145,10.1287209276512
193-GZ,40,Samples,Run1,Honduras,Honduras,0.651041666666667,156527,1252.216,5046.81762164966,68,295,17,312,Honduras 003,A04,P. vivax,21.8347205004795,15.8272587810203
200-GZ,67,Samples,Run1,Honduras,Honduras,0.625,43530,362.75,1223.51481053424,39.5,147.75,17,164.75,Honduras 003,C07,P. vivax,18.2319601223229,353.133315498422
201-GZ,48,Samples,Run1,Honduras,Honduras,0.817708333333333,98372,626.573248407643,1642.57681084818,77,376,24,400,Honduras 003,A12,P. vivax,17.4932905600163,667.462336508764
213-GZ,57,Samples,Run1,Honduras,Honduras,0.692708333333333,73972,556.18045112782,2184.17921909584,58,178,22,200,Honduras 003,B09,P. vivax,19.1384398839214,161.673313993921
PF-230,38,Samples,Run1,Honduras,Honduras,0.677083333333333,170055,1308.11538461538,4039.25140549777,74.5,427,24,451,Honduras 003,A02,P. vivax,19.3594205671202,133.636181509755
PF-428,41,Samples,Run1,Honduras,Honduras,0.859375,166418,1008.59393939394,3235.91414478229,78,332,30,362,Honduras 003,A05,P. vivax,20.922743284603,34.7347183679848
G4G0523,98,Samples,Run2,Guyana,Guyana,0.765625,12384,84.2448979591837,199.21467706825,29,57,14,71,NA,NA,NA,NA,NA
G4G0534,20,Samples,Run2,Guyana,Guyana,0.786458333333333,15579,103.172185430464,239.726198306579,41,67.5,16.5,84,Gates 056,B08,P. vivax,18.1278303933029,925.28306701475
G4G0539,62,Samples,Run2,Guyana,Guyana,0.630208333333333,17291,142.900826446281,624.049990050993,32,96,13,109,NA,NA,NA,NA,NA
G4G0546,15,Samples,Run2,Guyana,Guyana,0.723958333333333,16577,119.258992805755,303.055319437818,38,69,18.5,87.5,Gates 056,B03,P. vivax,20.7159465782174,143.221819864052
G4G0567,18,Samples,Run2,Guyana,Guyana,0.838541666666667,22211,137.95652173913,328.178178506472,51,94,20,114,Gates 056,B06,P. vivax,18.6869169727832,618.35878927361
G4G0784,270,Samples,Run2,Guyana,Guyana,0.630208333333333,5265,43.5123966942149,60.7969456061842,24,28,14,42,NA,NA,NA,NA,NA
