                           input filtered denoisedF denoisedR merged nonchim
G4G2033_S103                 255      240       185       179    175     175
G4G2040_S162                5307     4459      4025      3695   3624    3624
G4G2388_S124                4551     4247      3797      3654   3430    3430
G4G2038_S158               51227    43496     41842     39927  38613   38613
G4G1398_S44                  106      100        32        19     19      19
G4G1137_S95                  575      519       382       369    338     338
HRP0354_S357               63818    59235     56849     56415  55255   55255
G4G2592_S263                6010     5247      4660      4628   4285    4285
G4G0784_S270                7219     6580      5790      5717   5366    5366
G4G2452_S109                 854      749       582       459    426     426
G4G2148_S5                   392      316        98       113     38      38
G4G2146_S92                   75       48        22         1      0       0
SP0112286571_S292          11402    10168      9047      8913   8562    8562
G4G1921_S91                24135    21424     19004     19556  18234   18234
G4G1986_S268               33071    31119     30089     30047  28323   28323
SP0112286510_S299          52721    47236     44658     43311  41205   41205
G9L0111_S388                3479     3144      2762      2606   2509    2509
G4G2258_S176                 429      250       221        24     21      21
HRP0364_S367              123946   114662    112937    111895  89213   89213
G4G2382_S181                 479      432       383       404    380     380
HRP0374_S377                3420     3111      2759      2780   2659    2659
G4G2505_S57                10729     9918      8597      9370   8097    8097
G4G2376_S184                  35       32        27        24     24      24
G4G2090_S53                 3132     2826      1583      2469   1467    1467
G4G1905_S71                 4900     4752      4588      4530   4417    4417
G4G0534_S20                19984    18386     16433     16859  15679   15679
G4G2573_S89               128453   118349    116987    115695 105545  105545
G4G2450_S105                1123     1071       962       923    910     910
G4G0929_S271                 591      516       349       362    281     281
G4G2556_S77                51076    46783     43832     44757  27316   27316
G4G1928_S66                29428    27659     26292     26737  25437   25437
G4G2326_S125                4108     3767      3352      3314   3131    3131
G9L0115_S389                6094     5706      5274      5112   4978    4978
SP0101254394_S321          45640    41151     39747     39715  37498   37498
HRP0359_S362              338252   317705    313567    314154 304530  303796
G4G2497_S58                 2730     2540      2186      2138   2033    2033
G4G0569_S96                 4162     3879      3273      3264   3133    3133
G4G2541_S146                9986     9095      8191      7920   7563    7563
G4G2023_S165               17824    15726     13845     13940  12684   12684
G4G2520_S225                9084     8660      8147      8067   7771    7771
G4G2135_S210               18618    17354     15472     16092  14384   14384
G4G0546_S15                21294    20007     17398     19460  16797   16797
G4G1963_S27                 7146     6434      6029      5573   5377    5377
G4G1964_S25                 2973     2336      1778      2192   1752    1752
G4G2048_S70                 5000     3957      3472      3068   2980    2980
G4G2080_S64                    6        2         1         1      0       0
SP0112286902_S300          28125    24930     22808     23979  21730   21730
G4G2006_S29                 1084      996       814       840    787     787
G4G2433_S199                 904      511       254       279    252     252
