                     input filtered denoisedF denoisedR merged nonchim
SP0112286119-R2_S72  41177    39545     38910     38197  31458   31458
SP0112286166-R2_S71   5139     4784      4475      4410   2984    2983
HRP0187-R1_S53        2857     2711      2435      2433   2021    2021
HRP0144-R1_S60        3607     3318      3163      3019   2667    2667
CON21-75-R1_S35       5995     5574      5229      5223   4550    4550
HRP0132-R1_S59        2621     2516      2304      2153   1889    1889
SP0112286163-R1_S4   61447    57855     57180     55974  47462   47457
SP0112286271-R1_S15  11833    11515     11304     11101   9991    9991
SP0101254266-R1_S22  16011    15484     14952     15095  12860   12859
SP0112286453-R2_S76  44157    41211     40188     39527  33442   33438
CON21-76-R1_S34       4321     4050      3797      3716   3261    3259
SP0101254215-R2_S83   9783     9219      8902      8864   7333    7332
SP0101254283-R2_S87  16174    15760     15553     15408  14081   14079
CON21-71-R1_S32      17517    16055     15706     15489  13590   13586
SP0112286435-R2_S66   9252     8525      8294      8116   6916    6915
SP0101254356-R2_S92  84658    80966     79726     79139  65955   65946
SP0101254347-R1_S14  33153    28435     27835     25620  19792   19786
SP0101254313-R2_S67  31171    29426     28320     28457  25090   25086
NTC-R1_S64              32        1         1         1      1       1
SP0112286271-R2_S79   4603     4476      4296      4157   3842    3842
SP0112286439-R1_S1   81533    75183     73344     72530  62316   62299
CON22-237-R1_S45     96506    92060     90678     90603  50703   50695
SP0112286325-R2_S77  10383     9412      9224      8740   7882    7879
CON22-138-R1_S37     14363    13383     12931     12842  11171   11169
SP0112286175-R2_S89   2610     2481      2066      2185   1704    1704
SP0112286487-R2_S75  16657    15499     15253     14833  12502   12502
SP0101254283-R1_S23  19381    18959     18715     18557  17049   17049
HRP0148-R1_S61       11084    10720     10466     10485   9520    9519
CON21-71-R2_S96      95890    88170     87183     86272  77254   77231
SP0101254202-R2_S82  10460     9683      9410      9156   7607    7605
SP0101254260-R2_S80  43420    42899     42361     42155  38234   38234
SP0112286435-R1_S2  131525   121228    118619    117088 100215  100194
SP0112286283-R1_S6  134872   125254    123770    120953 102088  102049
SP0101254347-R2_S78   6922     5782      5589      4973   3775    3774
SP0101254266-R2_S86   6014     5827      5457      5649   4660    4660
SP0112286484-R2_S74   6992     6477      6210      6004   4788    4788
SP0112286163-R2_S68   7373     6937      6791      6635   5532    5532
SP0101254341-R2_S81  28412    27140     26705     26416  22275   22274
SP0101254202-R1_S18  30576    28466     28007     27302  23087   23084
SP0112286439-R2_S65  37684    34570     33720     33342  28282   28278
SP0112286487-R1_S11  28026    26177     25698     25305  21549   21548
SP0112286325-R1_S13  11426    10334     10082      9705   8658    8658
Sal1-sWGS-R1_S96    242605   230533    229790    230038 205898  205871
SP0112286166-R1_S7   31428    29478     28639     28018  22428   22427
HRP0046-R1_S56        5762     5525      5341      5289   4986    4986
SP0101254289-R2_S85  11999    11442     11066     11083   9743    9743
SP0112286144-R1_S27   2252     2103      1940      1888   1678    1678
CON22-326-R1_S43     29646    26740     25988     25711  22727   22711
SP0112286370-R2_S73 151285   137690    136999    137280 120904  120704
SP0112286309-R1_S20  11591    10715     10262     10036   8551    8523
CON22-327-R1_S44      8957     8265      7915      7861   6777    6774
CON22-320-R1_S42     41965    39333     38127     38191  32690   32687
SP0112286484-R1_S10  18834    17195     16648     15783  12654   12654
SP0112286175-R1_S25  13573    12639     11949     11855   9848    9848
SP0112286288-R2_S88  46815    43438     42899     41889  35193   35185
HRP0152-R1_S47        1552     1480      1277      1223    995     995
SP0101254341-R1_S17  49588    47361     46605     47025  39132   39129
SP0112286091-R2_S69  25226    23794     23368     22820  18020   18019
SP0101254215-R1_S19   9086     8641      8459      8356   6852    6852
SP0112286309-R2_S84  76765    71119     69379     68450  57150   56998
SP0112286144-R2_S91  25360    23261     22950     22615  20029   20019
SP0101254260-R1_S16  12440    12307     11911     12017  10994   10994
SP0112286091-R1_S5   34765    32851     32234     31541  25472   25472
SP0112286453-R1_S12  73604    68607     66866     65827  55843   55838
CON22-285-R1_S46      4496     4248      3393      4037   2698    2698
HRP0166-R1_S49        2428     2334      2102      2077   1855    1855
SP0112286119-R1_S8   31591    30286     29810     29300  24162   24162
HRP0174-R1_S51        3284     3089      2915      2848   2443    2443
SP0112286370-R1_S9   59157    54900     53722     53732  45525   45499
SP0101254334-R2_S93  59817    54522     53882     51455  42662   42619
SP0101254289-R1_S21   6120     5635      5471      5100   4223    4223
SP0112286283-R2_S70  17128    15880     15698     15133  12525   12520
SP0101254313-R1_S3   25667    24214     23358     23465  20269   20268
