Yi,Yj,khat,rhat
CON21-71-R1,CON21-71-R2,49.1064324137221,0.999999997936196
CON21-71-R1,CON21-75-R1,32.7046914158763,0.710403806009936
CON21-71-R1,CON21-76-R1,49.1054381758062,0.999999698957936
CON21-71-R1,CON22-138-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-237-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-285-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-320-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-326-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-327-R1,49.1064324137221,0.999999997936196
CON21-71-R1,HRP0046-R1,7789.26907496511,0.586592926886844
CON21-71-R1,HRP0144-R1,3443.83281966486,0.617410357758092
CON21-71-R1,HRP0148-R1,3069.63403549079,0.524252964692841
CON21-71-R1,HRP0174-R1,59265.332472061,0.562691437118684
CON21-71-R1,HRP0187-R1,69646.6880386069,0.608240318237725
CON21-71-R1,SP0101254202-R1,5538.54493933738,0.564214068155763
CON21-71-R1,SP0101254202-R2,43359.4504445359,0.57233065642247
CON21-71-R1,SP0101254215-R1,1469.30477137068,0.477122573855581
CON21-71-R1,SP0101254215-R2,4420.08508817126,0.511042228301628
CON21-71-R1,SP0101254260-R1,3764.82412086571,0.561969567873341
CON21-71-R1,SP0101254260-R2,538.511398447856,0.528087818543163
CON21-71-R1,SP0101254266-R1,87241.0512134556,0.521103284761659
CON21-71-R1,SP0101254266-R2,49385.7860854979,0.564383881018149
CON21-71-R1,SP0101254283-R1,994.362709848487,0.545307182267962
CON21-71-R1,SP0101254283-R2,1490.79077899155,0.540284815802902
CON21-71-R1,SP0101254289-R1,2303.96091025093,0.511216487660031
CON21-71-R1,SP0101254289-R2,67481.7552051453,0.540257796395117
CON21-71-R1,SP0101254313-R1,1349.18292006246,0.483628211848714
CON21-71-R1,SP0101254313-R2,56700.6699445879,0.486638568202676
CON21-71-R1,SP0101254334-R2,56.9869980588555,0.51727394759655
CON21-71-R1,SP0101254341-R1,775.250993772396,0.51798110327262
CON21-71-R1,SP0101254341-R2,72597.190763696,0.515773161048315
CON21-71-R1,SP0101254347-R1,1554.83545267534,0.513041508499896
CON21-71-R1,SP0101254347-R2,385.970988724293,0.482480120088439
CON21-71-R1,SP0101254356-R2,689.400630893396,0.577063460638463
CON21-71-R1,SP0112286091-R1,63934.1194522726,0.45820597264145
CON21-71-R1,SP0112286091-R2,63934.1194522726,0.45820597264145
CON21-71-R1,SP0112286119-R1,1941.54251715808,0.481923400155172
CON21-71-R1,SP0112286119-R2,157875.755580238,0.465982326819243
CON21-71-R1,SP0112286144-R1,91782.3368210407,0.568046663758613
CON21-71-R1,SP0112286144-R2,19822.4632864374,0.515539012219177
CON21-71-R1,SP0112286163-R1,66280.3416821612,0.477059870473183
CON21-71-R1,SP0112286163-R2,1546.32028651392,0.499950397274586
CON21-71-R1,SP0112286166-R1,7546.58742831423,0.552730511144536
CON21-71-R1,SP0112286175-R1,1599.20175152566,0.543219860696695
CON21-71-R1,SP0112286271-R1,1652.08483313818,0.46707852619636
CON21-71-R1,SP0112286283-R1,49789.092086607,0.524098227359878
CON21-71-R1,SP0112286283-R2,3746.81356596773,0.520028387965105
