hapid	haplength	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV1	52	26636	42	N	pvpi3k_12	1	0	FALSE
ASV2	56	24377	72	PvP01	pvabc-e1_3	0	0	FALSE
ASV3	177	23696	29	N	VPS11	1	0	FALSE
ASV4	177	21542	35	PvP01	VPS11	0	0	FALSE
ASV5	82	21019	66	N	PVP01_0912400	1	0	FALSE
ASV6	72	19921	41	N	FER2_2	1	0	FALSE
ASV7	131	19186	38	PvP01	PVP01_1438700	0	0	FALSE
ASV8	57	18889	61	PvP01	pvabc-e1_1	0	0	FALSE
ASV9	91	17745	46	N	SLARP	1	0	FALSE
ASV10	141	17354	57	N	TRAG38	1	0	FALSE
ASV11	47	16927	61	N	pvmdr1_1	1	0	FALSE
ASV12	86	16739	52	PvP01	PVP01_0412700	0	0	FALSE
ASV13	56	16238	69	PvP01	pvdhps_4	0	0	FALSE
ASV14	96	15666	48	PvP01	PVP01_0504000	0	0	FALSE
ASV15	150	15576	35	PvP01	HSP20	0	0	FALSE
ASV16	100	15472	37	N	PVP01_1014100	6	0	FALSE
ASV17	81	14941	29	PvP01	RAMA	0	0	FALSE
ASV18	116	14486	41	PvP01	PVP01_0306200	0	0	FALSE
ASV19	130	13631	71	N	MyoB	1	0	FALSE
ASV20	173	13420	49	N	RPA2	1	0	FALSE
ASV21	150	13371	28	N	HSP20	1	0	FALSE
ASV22	74	13349	32	PvP01	PVP01_0116700	0	0	FALSE
ASV23	125	13282	69	PvP01	PVP01_0318900	0	0	FALSE
ASV24	51	13086	72	PvP01	pvpi3k_1	0	0	FALSE
ASV25	121	12823	19	N	PIGM	1	0	FALSE
ASV26	72	12130	18	PvP01	FER2_2	0	0	FALSE
ASV27	137	11772	61	PvP01	SUMO	0	0	FALSE
ASV28	146	11756	63	PvP01	PVP01_0615400	0	0	FALSE
ASV29	58	11719	59	PvP01	pvpi3k_5	0	0	FALSE
ASV30	99	11548	34	N	ATG11	2	0	FALSE
ASV31	100	11463	63	N	PVP01_0117000	3	0	FALSE
ASV32	123	11214	49	PvP01	MED14	0	0	FALSE
ASV33	179	10685	48	PvP01	ATAT	0	0	FALSE
ASV34	99	10511	38	N	ATG11	1	0	FALSE
ASV35	96	10276	19	N	PVP01_0504000	2	0	FALSE
ASV36	56	9760	65	PvP01	pvdhfr	0	0	FALSE
ASV37	72	9745	32	N	TRAG16_1	2	0	FALSE
ASV38	124	9647	54	N	ROM10	2	0	FALSE
ASV39	105	9625	59	PvP01	GCN20	0	0	FALSE
ASV40	110	9480	8	PvP01	PVP01_1144400	0	0	FALSE
ASV41	167	9095	59	PvP01	PVP01_0933300	0	0	FALSE
ASV42	56	9089	51	PvP01	pvpi3k_10	0	0	FALSE
ASV43	94	9063	46	N	LSM8	1	0	FALSE
ASV44	142	9048	32	PvP01	PVP01_0202600	0	0	FALSE
ASV45	94	8908	58	PvP01	PCD	0	0	FALSE
ASV46	157	8854	49	N	GAP50	1	0	FALSE
ASV47	52	8745	33	PvP01	pvpi3k_12	0	0	FALSE
ASV48	149	8713	41	PvP01	PSOP24	0	0	FALSE
ASV49	57	8680	11	N	pvabc-e1_1	1	0	FALSE
ASV50	121	8515	26	N	PIGM	1	0	FALSE
