amplicon,chromosome,start,end,length,pos,distance
PVP01_0103700_1,PvP01_01_v1,169480,169679,200,169580,2105
PVP01_0103700_2,PvP01_01_v1,171594,171775,182,171685,205960
RAMA,PvP01_01_v1,377605,377685,81,377645,18419
PVP01_0107900,PvP01_01_v1,395974,396153,180,396064,63925
MED14,PvP01_01_v1,459928,460050,123,459989,2837
PVP01_0109700_1,PvP01_01_v1,462756,462895,140,462826,604
PVP01_0109700_2,PvP01_01_v1,463336,463524,189,463430,297743
PVP01_0116700,PvP01_01_v1,761136,761209,74,761173,10962
PVP01_0117000,PvP01_01_v1,772085,772184,100,772135,130784
PVP01_0119600,PvP01_01_v1,902848,902990,143,902919,Inf
PVP01_0202600,PvP01_02_v1,135273,135414,142,135344,18783
pvmrp1_2,PvP01_02_v1,154081,154173,93,154127,193
pvmrp1_3,PvP01_02_v1,154289,154351,63,154320,841
pvmrp1_6,PvP01_02_v1,155071,155251,181,155161,646
pvmrp1_7,PvP01_02_v1,155722,155892,171,155807,334
pvmrp1_8,PvP01_02_v1,156062,156220,159,156141,827
pvmrp1_10,PvP01_02_v1,156941,156994,54,156968,1148
pvmrp1_12,PvP01_02_v1,158062,158169,108,158116,105801
PSOP24,PvP01_02_v1,263843,263991,149,263917,61073
CCR4-3,PvP01_02_v1,324899,325080,182,324990,104535
PVP01_0210500,PvP01_02_v1,429454,429596,143,429525,106037
VPS53,PvP01_02_v1,535475,535649,175,535562,24162
PVP01_0213400,PvP01_02_v1,559647,559800,154,559724,99743
PVP01_0215600,PvP01_02_v1,659404,659529,126,659467,12054
PVP01_0215800_1,PvP01_02_v1,671484,671558,75,671521,1471
PVP01_0215800_2,PvP01_02_v1,672903,673080,178,672992,Inf
PVP01_0302300,PvP01_03_v1,111140,111314,175,111227,20874
PVP01_0302700,PvP01_03_v1,132029,132173,145,132101,104810
SEC24B,PvP01_03_v1,236841,236981,141,236911,15167
LISP2,PvP01_03_v1,251975,252180,206,252078,31349
RON1,PvP01_03_v1,283354,283500,147,283427,36902
PVP01_0306200,PvP01_03_v1,320271,320386,116,320329,150435
MED8,PvP01_03_v1,470684,470843,160,470764,82743
pvdmt2_1,PvP01_03_v1,553503,553511,9,553507,80619
CRMP2,PvP01_03_v1,634027,634224,198,634126,27448
PVP01_0314600,PvP01_03_v1,661477,661670,194,661574,90173
PSOP1,PvP01_03_v1,751664,751830,167,751747,35382
PVP01_0318900,PvP01_03_v1,787067,787191,125,787129,66592
BDP6,PvP01_03_v1,853690,853751,62,853721,15773
PVP01_0320600,PvP01_03_v1,869436,869551,116,869494,Inf
PVP01_0405000_1,PvP01_04_v1,226216,226362,147,226289,887
PVP01_0405000_2,PvP01_04_v1,227090,227261,172,227176,82205
CDPK1,PvP01_04_v1,309311,309450,140,309381,27906
ATG11,PvP01_04_v1,337238,337336,99,337287,145595
MATE,PvP01_04_v1,482835,482928,94,482882,37885
PVP01_0412700,PvP01_04_v1,520724,520809,86,520767,242498
MSP5,PvP01_04_v1,763203,763327,125,763265,67083
HT1,PvP01_04_v1,830301,830394,94,830348,2966
PVP01_0420500,PvP01_04_v1,833244,833383,140,833314,79653
ETRAMP11.2,PvP01_04_v1,912877,913056,180,912967,Inf
TRAG38,PvP01_05_v1,151626,151766,141,151696,18824
PVP01_0504000,PvP01_05_v1,170472,170567,96,170520,64316
LSM8,PvP01_05_v1,234789,234882,94,234836,28633
FT1,PvP01_05_v1,263392,263545,154,263469,200399
LipB,PvP01_05_v1,463780,463956,177,463868,99772
PVP01_0513400,PvP01_05_v1,563563,563717,155,563640,172593
RON5,PvP01_05_v1,736194,736271,78,736233,43696
HSP20,PvP01_05_v1,779854,780003,150,779929,2720
PVP01_0518900,PvP01_05_v1,782576,782722,147,782649,294757
pvdhfr,PvP01_05_v1,1077378,1077433,56,1077406,66426
PVP01_0527700,PvP01_05_v1,1143738,1143926,189,1143832,123328
RRF2,PvP01_05_v1,1267119,1267201,83,1267160,34481
PVP01_0530700,PvP01_05_v1,1301584,1301698,115,1301641,Inf
ETRAMP,PvP01_06_v1,87765,87917,153,87841,6751
PVP01_0602200,PvP01_06_v1,94503,94680,178,94592,4463
PVP01_0602400,PvP01_06_v1,98976,99133,158,99055,550517
PVP01_0615400,PvP01_06_v1,649499,649644,146,649572,94500
AdoMetDC_ODC,PvP01_06_v1,744015,744129,115,744072,47879
TLAP2,PvP01_06_v1,791899,792002,104,791951,84273
PyKII,PvP01_06_v1,876140,876307,168,876224,107867
DBP_1,PvP01_06_v1,984037,984145,109,984091,10176
PVP01_0624000,PvP01_06_v1,994215,994319,105,994267,21775
PVP01_0624400,PvP01_06_v1,1015964,1016119,156,1016042,Inf
CuTP,PvP01_07_v1,187898,187968,71,187933,199147
PVP01_0707300,PvP01_07_v1,387008,387152,145,387080,24619
SPM1,PvP01_07_v1,411648,411749,102,411699,130199
PVP01_0710900,PvP01_07_v1,541815,541980,166,541898,155545
MOP,PvP01_07_v1,697368,697517,150,697443,35516
GAP50,PvP01_07_v1,732881,733037,157,732959,75767
RCC-PIP,PvP01_07_v1,808667,808784,118,808726,98391
pBAS,PvP01_07_v1,907032,907201,170,907117,103051
ATAT,PvP01_07_v1,1010079,1010257,179,1010168,197265
MSP1P,PvP01_07_v1,1207372,1207494,123,1207433,10544
MSP1,PvP01_07_v1,1217931,1218023,93,1217977,82897
MAM3,PvP01_07_v1,1300782,1300965,184,1300874,80107
PVP01_0733600,PvP01_07_v1,1380926,1381035,110,1380981,1201
SNRPB2,PvP01_07_v1,1382101,1382263,163,1382182,73498
PVP01_0735100,PvP01_07_v1,1455581,1455778,198,1455680,Inf
RBP2b_1,PvP01_08_v1,35568,35690,123,35629,445
RBP2b_2,PvP01_08_v1,36036,36111,76,36074,5088
RBP2b_3,PvP01_08_v1,41128,41196,69,41162,294482
HDA2,PvP01_08_v1,335560,335727,168,335644,400050
RIPR,PvP01_08_v1,735633,735754,122,735694,120878
SPC25,PvP01_08_v1,856475,856668,194,856572,47705
ABCI3,PvP01_08_v1,904199,904354,156,904277,10233
PVP01_0820800,PvP01_08_v1,914459,914561,103,914510,121048
B9,PvP01_08_v1,1035524,1035591,68,1035558,75876
CTRP,PvP01_08_v1,1111389,1111478,90,1111434,162596
EIF3K_1,PvP01_08_v1,1273952,1274107,156,1274030,418
EIF3K_2,PvP01_08_v1,1274382,1274514,133,1274448,196379
PVP01_0834800,PvP01_08_v1,1470758,1470895,138,1470827,99456
NSF,PvP01_08_v1,1570202,1570364,163,1570283,56823
PVP01_0838300,PvP01_08_v1,1627043,1627168,126,1627106,5112
PVP01_0838400,PvP01_08_v1,1632134,1632301,168,1632218,Inf
SufD,PvP01_09_v1,264615,264752,138,264684,5236
PVP01_0904300,PvP01_09_v1,269859,269981,123,269920,29417
SYN13,PvP01_09_v1,299272,299401,130,299337,148942
PVP01_0908400,PvP01_09_v1,448180,448378,199,448279,42654
PCD,PvP01_09_v1,490886,490979,94,490933,92023
PVP01_0912400,PvP01_09_v1,582915,582996,82,582956,267365
MLC_B,PvP01_09_v1,850270,850372,103,850321,116514
GCN20,PvP01_09_v1,966783,966887,105,966835,229197
PVP01_0927200,PvP01_09_v1,1195964,1196099,136,1196032,11839
ATG23,PvP01_09_v1,1207801,1207941,141,1207871,73951
mHCF101,PvP01_09_v1,1281738,1281906,169,1281822,75133
PVP01_0931600,PvP01_09_v1,1356878,1357031,154,1356955,72174
PVP01_0933300,PvP01_09_v1,1429046,1429212,167,1429129,30296
AMA1,PvP01_09_v1,1459356,1459494,139,1459425,69882
RPA2,PvP01_09_v1,1529221,1529393,173,1529307,221710
ApiAP2_G5,PvP01_09_v1,1750925,1751108,184,1751017,127967
PVP01_0942500,PvP01_09_v1,1878944,1879024,81,1878984,174264
ORP1,PvP01_09_v1,2053173,2053323,151,2053248,22078
SLARP,PvP01_09_v1,2075281,2075371,91,2075326,75160
TRAG16_1,PvP01_09_v1,2150450,2150521,72,2150486,Inf
PVP01_1002800,PvP01_10_v1,152412,152537,126,152475,4342
FRM1_1,PvP01_10_v1,156727,156907,181,156817,747
FRM1_2,PvP01_10_v1,157475,157653,179,157564,31817
PPT,PvP01_10_v1,189299,189463,165,189381,16779
PVP01_1004100,PvP01_10_v1,206084,206236,153,206160,10193
PVP01_1004400,PvP01_10_v1,216293,216412,120,216353,96950
PVP01_1007200,PvP01_10_v1,313229,313376,148,313303,166605
pvmdr1_1,PvP01_10_v1,479885,479931,47,479908,222
pvmdr1_2,PvP01_10_v1,480043,480217,175,480130,280
pvmdr1_3,PvP01_10_v1,480384,480436,53,480410,1174
pvmdr1_4,PvP01_10_v1,481527,481641,115,481584,870
pvmdr1_5,PvP01_10_v1,482415,482492,78,482454,146434
PVP01_1014100,PvP01_10_v1,628838,628937,100,628888,48727
PSOP13,PvP01_10_v1,677546,677683,138,677615,102750
MB2,PvP01_10_v1,780300,780430,131,780365,46402
pvpi3k_1,PvP01_10_v1,826742,826792,51,826767,321
pvpi3k_2,PvP01_10_v1,827038,827138,101,827088,843
pvpi3k_4,PvP01_10_v1,827909,827952,44,827931,178
pvpi3k_5,PvP01_10_v1,828080,828137,58,828109,656
pvpi3k_6,PvP01_10_v1,828691,828838,148,828765,262
pvpi3k_7,PvP01_10_v1,828962,829091,130,829027,1163
