amplicon,chromosome,start,end,pos,length,distance,old_amplicon_name,old_amplicon_name_primers_fwd,old_amplicon_name_primers_rev
Pf3D7_01_v3_162899_163196,Pf3D7_01_v3,162899,163196,163047.5,298,16256.5,PF3D7_0103600,PF3D7_0103600,PF3D7_0103600
Pf3D7_01_v3_179215_179393,Pf3D7_01_v3,179215,179393,179304,179,173881.5,PF3D7_0104100_1,PF3D7_0104100_1,PF3D7_0104100_1
Pf3D7_01_v3_353038_353333,Pf3D7_01_v3,353038,353333,353185.5,296,Inf,PSOP24,PSOP24,PSOP24
Pf3D7_02_v3_290552_290785,Pf3D7_02_v3,290552,290785,290668.5,234,24086.5,PF3D7_0207300,PF3D7_0207300,PF3D7_0207300
Pf3D7_02_v3_314636_314874,Pf3D7_02_v3,314636,314874,314755,239,6137,PfSERA3,SERA3,SERA3
Pf3D7_02_v3_320763_321021,Pf3D7_02_v3,320763,321021,320892,259,149242.5,PfSERA2_1,PfSERA2,PfTSERA2
Pf3D7_02_v3_469992_470277,Pf3D7_02_v3,469992,470277,470134.5,286,59559.5,PF3D7_0211700,PF3D7_0211700,PF3D7_0211700
Pf3D7_02_v3_529614_529774,Pf3D7_02_v3,529614,529774,529694,161,184665,PF3D7_0212800,PF3D7_0212800,PF3D7_0212800
Pf3D7_02_v3_714206_714512,Pf3D7_02_v3,714206,714512,714359,307,125276.5,PF3D7_0217200,PF3D7_0217200,PF3D7_0217200
Pf3D7_02_v3_839543_839728,Pf3D7_02_v3,839543,839728,839635.5,186,Inf,PF3D7_0220800,PF3D7_0220800,PF3D7_0220800
Pf3D7_03_v3_221352_221639,Pf3D7_03_v3,221352,221639,221495.5,288,289832.5,PfCSP_1,PfCSP,PfCSP
Pf3D7_03_v3_511201_511455,Pf3D7_03_v3,511201,511455,511328,255,177877.5,PF3D7_0311900,PF3D7_0311900,PF3D7_0311900
Pf3D7_03_v3_689065_689346,Pf3D7_03_v3,689065,689346,689205.5,282,Inf,B9,B9,B9
Pf3D7_04_v3_110441_110612,Pf3D7_04_v3,110441,110612,110526.5,172,206411,PF3D7_0401900,PF3D7_0401900,PF3D7_0401900
Pf3D7_04_v3_316831_317044,Pf3D7_04_v3,316831,317044,316937.5,214,12492.5,ASP,ASP,ASP
Pf3D7_04_v3_329321_329539,Pf3D7_04_v3,329321,329539,329430,219,199977,Pfs16,Pfs16,Pfs16
Pf3D7_04_v3_529295_529519,Pf3D7_04_v3,529295,529519,529407,225,1710.5,PF3D7_0411900_1,PF3D7_0411900_1,PF3D7_0411900_1
Pf3D7_04_v3_530993_531242,Pf3D7_04_v3,530993,531242,531117.5,250,217070,PF3D7_0411900_2,PF3D7_0411900_2,PF3D7_0411900_2
Pf3D7_04_v3_748112_748263,Pf3D7_04_v3,748112,748263,748187.5,152,306,PfDHFR_1,PfDHFR_16_59,PfDHFR_16_59
Pf3D7_04_v3_748409_748578,Pf3D7_04_v3,748409,748578,748493.5,170,143189.5,PfDHFR_2,PfDHFR_108_164,PfDHFR_108_164
Pf3D7_04_v3_891578_891788,Pf3D7_04_v3,891578,891788,891683,211,145957.5,PF3D7_0419900_2,PF3D7_0419900_2,PF3D7_0419900_2
Pf3D7_04_v3_1037534_1037747,Pf3D7_04_v3,1037534,1037747,1037640.5,214,64833,PF3D7_0422500,PF3D7_0422500,PF3D7_0422500
