hapid	haplength	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV1	177	611371	191	PvP01	VPS11	0	0	FALSE
ASV2	177	586534	117	N	VPS11	1	0	FALSE
ASV3	150	209643	216	PvP01	HSP20	0	0	FALSE
ASV4	131	182201	163	PvP01	PVP01_1438700	0	0	FALSE
ASV5	141	162057	192	N	TRAG38	1	0	FALSE
ASV6	141	153440	144	N	TRAG38	2	0	FALSE
ASV7	63	141188	304	PvP01	pvmrp1_3	0	0	FALSE
ASV8	195	131763	183	N	CG2_related	5	0	FALSE
ASV9	126	114909	217	N	PVP01_0838300	2	0	FALSE
ASV10	150	96333	95	N	HSP20	1	0	FALSE
ASV11	179	91797	181	N	FRM1_2	1	0	FALSE
ASV12	131	87741	110	N	PVP01_1438700	1	0	FALSE
ASV13	177	79556	20	N	VPS11	1	0	FALSE
ASV14	171	79119	241	PvP01	pvmrp1_7	0	0	FALSE
ASV15	93	79116	251	PvP01	pvmrp1_2	0	0	FALSE
ASV16	132	77599	255	N	RBP2a_2	3	0	FALSE
ASV17	134	73655	185	N	PVP01_1301600_1	3	0	FALSE
ASV18	160	72313	297	N	RBP2a_1	2	0	FALSE
ASV19	52	70983	213	N	pvpi3k_12	1	0	FALSE
ASV20	54	68067	298	PvP01	pvmrp1_10	0	0	FALSE
ASV21	56	62248	274	PvP01	pvabc-e1_3	0	0	FALSE
ASV22	146	61770	249	PvP01	PVP01_0615400	0	0	FALSE
ASV23	140	53850	150	N	PVP01_1311000	4	0	FALSE
ASV24	157	52182	215	N	GAP50	1	0	FALSE
ASV25	115	50421	279	N	pvmrp2_1	1	0	FALSE
ASV26	57	50117	274	PvP01	pvabc-e1_1	0	0	FALSE
ASV27	147	47474	252	N	PVP01_0518900	1	0	FALSE
ASV28	56	44814	262	PvP01	pvdhps_4	0	0	FALSE
ASV29	126	44533	100	PvP01	PVP01_0838300	0	0	FALSE
ASV30	134	44293	147	PvP01	PVP01_1301600_1	0	0	FALSE
ASV31	165	43853	270	N	CIA1	2	0	FALSE
ASV32	126	42261	60	N	PVP01_0838300	1	0	FALSE
ASV33	170	41895	219	N	pBAS	3	0	FALSE
ASV34	131	41884	228	N	MB2	1	0	FALSE
ASV35	52	40315	99	PvP01	pvpi3k_12	0	0	FALSE
ASV36	174	39713	254	PvP01	PKG	0	0	FALSE
ASV37	101	39208	123	PvP01	pvpi3k_2	0	0	FALSE
ASV38	160	39116	132	N	PVP01_1320900	1	0	FALSE
ASV39	105	39096	223	N	pvmrp2_2	2	0	FALSE
ASV40	150	38092	62	N	HSP20	4	0	FALSE
ASV41	177	37962	266	PvP01	LipB	0	0	FALSE
ASV42	56	36256	173	N	pvpi3k_10	1	0	FALSE
ASV43	155	35984	267	PvP01	PVP01_0513400	0	0	FALSE
ASV44	150	35715	280	N	PVP01_MIT00200_500	1	0	FALSE
ASV45	179	35421	72	N	FRM1_2	2	0	FALSE
ASV46	181	35383	221	N	pvmrp1_6	1	0	FALSE
ASV47	72	34946	95	N	TRAG16_1	2	0	FALSE
ASV48	131	34732	44	N	PVP01_1438700	1	0	FALSE
ASV49	160	33898	143	N	PVP01_1320900	2	0	FALSE
ASV50	141	31487	186	PvP01	PVP01_1421800	0	0	FALSE
ASV51	138	31092	151	PvP01	PVP01_0834800	0	0	FALSE
ASV52	47	31046	264	N	pvmdr1_1	1	0	FALSE
ASV53	130	30652	260	N	MyoB	1	0	FALSE
ASV54	72	30651	163	N	TRAG16_1	8	0	FALSE
ASV55	207	30113	272	PvP01	TRAG18	0	0	FALSE
ASV56	139	28253	272	PvP01	PVP01_1301600_2	0	0	FALSE
ASV57	105	28237	241	PvP01	GCN20	0	0	FALSE
ASV58	121	27567	73	N	PIGM	1	0	FALSE
ASV59	180	27512	80	PvP01	ETRAMP11.2	0	0	FALSE
ASV60	121	27311	111	N	PIGM	2	0	FALSE
ASV61	115	27123	74	PvP01	AdoMetDC_ODC	0	0	FALSE
ASV62	134	26915	226	N	PVP01_1147300	3	0	FALSE
ASV63	179	26877	57	PvP01	PVP01_1315600	0	0	FALSE
ASV64	159	25581	213	PvP01	pvmrp1_8	0	0	FALSE
ASV65	56	25538	122	PvP01	pvpi3k_10	0	0	FALSE
ASV66	149	25428	146	N	PVP01_1413100_2	1	0	FALSE
