amplicon,chromosome,start,end,pos,length,distance
PF3D7_0212800,Pf3D7_02_v3,529614,529774,529694,161,184665
PF3D7_0217200,Pf3D7_02_v3,714206,714512,714359,307,125276.5
PF3D7_0220800,Pf3D7_02_v3,839543,839728,839635.5,186,NA
PF3D7_0311900,Pf3D7_03_v3,511201,511455,511328,255,177877.5
ASP,Pf3D7_04_v3,316831,317044,316937.5,214,12492.5
PF3D7_0424400,Pf3D7_04_v3,1102360,1102587,1102473.5,228,NA
PfMDR1_2,Pf3D7_05_v3,958394,958466,958430,73,2574
PfMDR1_4,Pf3D7_05_v3,961555,961643,961599,89,81762.5
PF3D7_0711500,Pf3D7_07_v3,505632,505919,505775.5,288,211608
PF3D7_0830800_2,Pf3D7_08_v3,1314745,1314964,1314854.5,220,NA
PF3D7_0905600,Pf3D7_09_v3,282697,282855,282776,159,169837.5
MSP11.H103.MSP3.7,Pf3D7_10_v3,1427588,1427763,1427675.5,176,NA
PF3D7_1125700,Pf3D7_11_v3,1006907,1007122,1007014.5,216,11828.5
PF3D7_1148700_1,Pf3D7_11_v3,1934870,1935095,1934982.5,226,NA
PF3D7_1320700,Pf3D7_13_v3,852665,852898,852781.5,234,59049.5
PF3D7_1322200,Pf3D7_13_v3,935650,935939,935794.5,290,297404.5
PF3D7_1333200,Pf3D7_13_v3,1367027,1367322,1367174.5,296,36909
PF3D7_1466200,Pf3D7_14_v3,2695875,2696077,2695976,203,37745.5
PvDHFR,,NA,NA,NA,NA,NA
