amplicon,chromosome,start,end,homopolymer_regions,homopolymer_anchors
PKNH_12_v2_198869_199113_1AB,PKNH_12_v2,198894,199083,NA,NA
Pf3D7_01_v3_145388_145662_1A,Pf3D7_01_v3,145421,145630,NA,NA
Pf3D7_01_v3_162867_163115_1A,Pf3D7_01_v3,162889,163092,NA,NA
Pf3D7_01_v3_181512_181761_1A,Pf3D7_01_v3,181545,181729,NA,NA
Pf3D7_01_v3_194742_194973_1B,Pf3D7_01_v3,194764,194942,NA,NA
Pf3D7_01_v3_455794_456054_1A,Pf3D7_01_v3,455827,456021,NA,NA
Pf3D7_01_v3_528859_529104_1A,Pf3D7_01_v3,528890,529073,NA,NA
Pf3D7_01_v3_535965_536239_1A,Pf3D7_01_v3,535995,536206,NA,NA
Pf3D7_02_v3_290580_290821_1A,Pf3D7_02_v3,290611,290789,NA,NA
Pf3D7_02_v3_291770_292017_1A,Pf3D7_02_v3,291802,291984,NA,NA
Pf3D7_02_v3_320652_320949_2,Pf3D7_02_v3,320676,320924,NA,NA
Pf3D7_02_v3_470437_470709_1A,Pf3D7_02_v3,470470,470676,NA,NA
Pf3D7_02_v3_503040_503288_1A,Pf3D7_02_v3,503072,503260,NA,NA
Pf3D7_02_v3_628941_629172_1A,Pf3D7_02_v3,628974,629143,NA,NA
Pf3D7_02_v3_630641_630907_1A,Pf3D7_02_v3,630674,630874,NA,NA
Pf3D7_03_v3_85507_85756_1A,Pf3D7_03_v3,85540,85723,NA,NA
Pf3D7_03_v3_221185_221419_1B,Pf3D7_03_v3,221218,221388,NA,NA
Pf3D7_03_v3_221295_221532_2,Pf3D7_03_v3,221328,221511,NA,NA
Pf3D7_03_v3_221463_221712_1B,Pf3D7_03_v3,221485,221679,NA,NA
Pf3D7_03_v3_240957_241256_2,Pf3D7_03_v3,240990,241224,NA,NA
Pf3D7_03_v3_515418_515657_1A,Pf3D7_03_v3,515441,515629,NA,NA
Pf3D7_03_v3_653961_654206_1A,Pf3D7_03_v3,653994,654177,NA,NA
Pf3D7_03_v3_855426_855697_1A,Pf3D7_03_v3,855456,855664,NA,NA
Pf3D7_03_v3_891553_891827_1A,Pf3D7_03_v3,891586,891794,NA,NA
Pf3D7_03_v3_980765_980997_1B,Pf3D7_03_v3,980797,980964,NA,NA
Pf3D7_03_v3_980853_981120_2,Pf3D7_03_v3,980886,981092,NA,NA
Pf3D7_03_v3_981574_981823_1B,Pf3D7_03_v3,981607,981797,NA,NA
Pf3D7_03_v3_981921_982191_1B,Pf3D7_03_v3,981946,982163,NA,NA
Pf3D7_03_v3_982299_982523_1B,Pf3D7_03_v3,982332,982491,NA,NA
Pf3D7_04_v3_109939_110184_1A,Pf3D7_04_v3,109962,110151,NA,NA
Pf3D7_04_v3_115455_115684_1A,Pf3D7_04_v3,115484,115652,NA,NA
Pf3D7_04_v3_133581_133830_1A,Pf3D7_04_v3,133613,133801,NA,NA
Pf3D7_04_v3_133928_134154_1A,Pf3D7_04_v3,133961,134121,NA,NA
Pf3D7_04_v3_140317_140548_1A,Pf3D7_04_v3,140350,140516,NA,NA
Pf3D7_04_v3_141741_141990_1A,Pf3D7_04_v3,141762,141957,NA,NA
Pf3D7_04_v3_284121_284364_1A,Pf3D7_04_v3,284154,284333,NA,NA
Pf3D7_04_v3_316593_316858_1A,Pf3D7_04_v3,316624,316825,NA,NA
Pf3D7_04_v3_544454_544718_1A,Pf3D7_04_v3,544487,544685,NA,NA
Pf3D7_04_v3_648065_648332_1A,Pf3D7_04_v3,648097,648299,NA,NA
Pf3D7_04_v3_748105_748359_1B,Pf3D7_04_v3,748129,748326,NA,NA
Pf3D7_04_v3_748374_748611_1B,Pf3D7_04_v3,748407,748581,NA,NA
Pf3D7_04_v3_748585_748822_2,Pf3D7_04_v3,748618,748789,NA,NA
Pf3D7_04_v3_900526_900759_1A,Pf3D7_04_v3,900559,900729,NA,NA
Pf3D7_04_v3_1005938_1006187_1A,Pf3D7_04_v3,1005971,1006155,NA,NA
Pf3D7_04_v3_1037644_1037891_1A,Pf3D7_04_v3,1037677,1037859,NA,NA
Pf3D7_04_v3_1077327_1077562_1B,Pf3D7_04_v3,1077360,1077536,NA,NA
Pf3D7_04_v3_1082776_1083049_1B,Pf3D7_04_v3,1082809,1083016,NA,NA
Pf3D7_04_v3_1083095_1083331_1B,Pf3D7_04_v3,1083127,1083298,NA,NA
Pf3D7_04_v3_1083299_1083563_2,Pf3D7_04_v3,1083332,1083530,NA,NA
Pf3D7_04_v3_1083411_1083668_1B,Pf3D7_04_v3,1083443,1083635,NA,NA
Pf3D7_04_v3_1113397_1113639_1A,Pf3D7_04_v3,1113422,1113612,NA,NA
Pf3D7_05_v3_213027_213251_1A,Pf3D7_05_v3,213060,213219,NA,NA
Pf3D7_05_v3_350808_351052_1A,Pf3D7_05_v3,350841,351019,NA,NA
Pf3D7_05_v3_369676_369949_1A,Pf3D7_05_v3,369706,369916,NA,NA
Pf3D7_05_v3_395887_396136_1A,Pf3D7_05_v3,395920,396103,NA,NA
Pf3D7_05_v3_550803_551072_1A,Pf3D7_05_v3,550835,551043,NA,NA
Pf3D7_05_v3_615379_615678_2,Pf3D7_05_v3,615412,615646,NA,NA
Pf3D7_05_v3_641131_641404_1A,Pf3D7_05_v3,641163,641373,NA,NA
Pf3D7_05_v3_668763_669004_1A,Pf3D7_05_v3,668788,668979,NA,NA
Pf3D7_05_v3_796518_796759_1A,Pf3D7_05_v3,796551,796728,NA,NA
Pf3D7_05_v3_958079_958350_1B,Pf3D7_05_v3,958106,958317,NA,NA
Pf3D7_05_v3_958372_958608_1B,Pf3D7_05_v3,958395,958580,NA,NA
Pf3D7_05_v3_958920_959168_1B,Pf3D7_05_v3,958953,959135,NA,NA
Pf3D7_05_v3_960810_961048_1B,Pf3D7_05_v3,960842,961021,NA,NA
Pf3D7_05_v3_961511_961758_1B,Pf3D7_05_v3,961544,961730,NA,NA
Pf3D7_05_v3_1188456_1188706_1A,Pf3D7_05_v3,1188489,1188673,NA,NA
Pf3D7_05_v3_1322099_1322341_1A,Pf3D7_05_v3,1322132,1322313,NA,NA
Pf3D7_06_v3_145285_145531_1A,Pf3D7_06_v3,145318,145502,NA,NA
Pf3D7_06_v3_176108_176338_1A,Pf3D7_06_v3,176139,176305,NA,NA
Pf3D7_06_v3_416462_416720_1A,Pf3D7_06_v3,416487,416688,NA,NA
Pf3D7_06_v3_532166_532407_1A,Pf3D7_06_v3,532195,532380,NA,NA
Pf3D7_06_v3_851492_851765_1A,Pf3D7_06_v3,851516,851740,NA,NA
Pf3D7_06_v3_857454_857753_2,Pf3D7_06_v3,857487,857720,NA,NA
Pf3D7_06_v3_1115900_1116168_1A,Pf3D7_06_v3,1115932,1116136,NA,NA
Pf3D7_06_v3_1128558_1128797_1A,Pf3D7_06_v3,1128591,1128771,NA,NA
Pf3D7_06_v3_1135605_1135855_1A,Pf3D7_06_v3,1135638,1135827,NA,NA
Pf3D7_06_v3_1136091_1136364_1A,Pf3D7_06_v3,1136122,1136332,NA,NA
Pf3D7_06_v3_1140900_1141174_1A,Pf3D7_06_v3,1140925,1141141,NA,NA
Pf3D7_06_v3_1192628_1192867_1A,Pf3D7_06_v3,1192660,1192836,NA,NA
Pf3D7_06_v3_1197245_1197515_1A,Pf3D7_06_v3,1197278,1197483,NA,NA
Pf3D7_06_v3_1214815_1215069_1B,Pf3D7_06_v3,1214846,1215036,NA,NA
Pf3D7_06_v3_1215236_1215502_1B,Pf3D7_06_v3,1215268,1215479,NA,NA
Pf3D7_06_v3_1215495_1215756_1B,Pf3D7_06_v3,1215516,1215727,NA,NA
Pf3D7_06_v3_1235395_1235658_1A,Pf3D7_06_v3,1235428,1235625,NA,NA
Pf3D7_06_v3_1282656_1282930_1A,Pf3D7_06_v3,1282688,1282898,NA,NA
Pf3D7_07_v3_105172_105442_1A,Pf3D7_07_v3,105201,105414,NA,NA
Pf3D7_07_v3_403479_403716_1B,Pf3D7_07_v3,403500,403683,NA,NA
Pf3D7_07_v3_403487_403750_2,Pf3D7_07_v3,403508,403717,NA,NA
Pf3D7_07_v3_403801_404052_1B,Pf3D7_07_v3,403834,404021,NA,NA
Pf3D7_07_v3_404325_404590_1B,Pf3D7_07_v3,404358,404564,NA,NA
Pf3D7_07_v3_404776_405006_1B,Pf3D7_07_v3,404809,404981,NA,NA
Pf3D7_07_v3_405334_405576_1B,Pf3D7_07_v3,405358,405543,NA,NA
Pf3D7_07_v3_405517_405773_2,Pf3D7_07_v3,405550,405743,NA,NA
Pf3D7_07_v3_405570_405844_1B,Pf3D7_07_v3,405598,405815,NA,NA
Pf3D7_07_v3_432832_433091_1A,Pf3D7_07_v3,432856,433064,NA,NA
Pf3D7_07_v3_475313_475545_1A,Pf3D7_07_v3,475344,475512,NA,NA
Pf3D7_07_v3_627351_627625_1A,Pf3D7_07_v3,627382,627592,NA,NA
Pf3D7_07_v3_717260_717493_1A,Pf3D7_07_v3,717293,717461,NA,NA
Pf3D7_07_v3_729480_729750_1A,Pf3D7_07_v3,729508,729725,NA,NA
Pf3D7_07_v3_896613_896849_1B,Pf3D7_07_v3,896646,896816,NA,NA
Pf3D7_07_v3_1028330_1028603_1A,Pf3D7_07_v3,1028362,1028570,NA,NA
Pf3D7_07_v3_1043981_1044225_1A,Pf3D7_07_v3,1044012,1044195,NA,NA
Pf3D7_07_v3_1066661_1066903_1A,Pf3D7_07_v3,1066694,1066879,NA,NA
Pf3D7_07_v3_1149367_1149613_1A,Pf3D7_07_v3,1149399,1149585,NA,NA
Pf3D7_08_v3_102277_102527_1A,Pf3D7_08_v3,102309,102500,NA,NA
Pf3D7_08_v3_336421_336651_1A,Pf3D7_08_v3,336454,336618,NA,NA
Pf3D7_08_v3_399693_399961_1A,Pf3D7_08_v3,399719,399934,NA,NA
Pf3D7_08_v3_412801_413062_1A,Pf3D7_08_v3,412834,413029,NA,NA
Pf3D7_08_v3_476232_476475_1A,Pf3D7_08_v3,476265,476442,NA,NA
Pf3D7_08_v3_549583_549807_1B,Pf3D7_08_v3,549610,549776,NA,NA
Pf3D7_08_v3_549960_550215_1B,Pf3D7_08_v3,549989,550182,NA,NA
Pf3D7_08_v3_550057_550318_2,Pf3D7_08_v3,550090,550294,NA,NA
Pf3D7_08_v3_585331_585590_1A,Pf3D7_08_v3,585364,585562,NA,NA
Pf3D7_08_v3_585703_585949_1A,Pf3D7_08_v3,585736,585916,NA,NA
Pf3D7_08_v3_585993_586266_1A,Pf3D7_08_v3,586025,586233,NA,NA
Pf3D7_08_v3_1056678_1056903_1A,Pf3D7_08_v3,1056703,1056878,NA,NA
Pf3D7_08_v3_1099719_1099977_1A,Pf3D7_08_v3,1099751,1099944,NA,NA
Pf3D7_08_v3_1176313_1176549_1A,Pf3D7_08_v3,1176346,1176524,NA,NA
Pf3D7_08_v3_1313088_1313338_1A,Pf3D7_08_v3,1313120,1313308,NA,NA
Pf3D7_08_v3_1314717_1314986_1A,Pf3D7_08_v3,1314744,1314953,NA,NA
Pf3D7_08_v3_1344618_1344845_1A,Pf3D7_08_v3,1344651,1344813,NA,NA
Pf3D7_08_v3_1365709_1365954_1B,Pf3D7_08_v3,1365742,1365924,NA,NA
Pf3D7_08_v3_1365750_1365999_2,Pf3D7_08_v3,1365783,1365968,NA,NA
Pf3D7_08_v3_1366575_1366822_2,Pf3D7_08_v3,1366600,1366795,NA,NA
Pf3D7_08_v3_1366626_1366856_1B,Pf3D7_08_v3,1366659,1366823,NA,NA
Pf3D7_08_v3_1370603_1370853_1B,Pf3D7_08_v3,1370633,1370825,NA,NA
Pf3D7_08_v3_1370814_1371045_2,Pf3D7_08_v3,1370847,1371012,NA,NA
Pf3D7_08_v3_1375025_1375284_1B,Pf3D7_08_v3,1375057,1375259,NA,NA
Pf3D7_08_v3_1375205_1375450_2,Pf3D7_08_v3,1375238,1375418,NA,NA
Pf3D7_08_v3_1386786_1387035_2,Pf3D7_08_v3,1386817,1387005,NA,NA
Pf3D7_08_v3_1386795_1387043_1B,Pf3D7_08_v3,1386822,1387013,NA,NA
Pf3D7_09_v3_82006_82236_1A,Pf3D7_09_v3,82034,82203,NA,NA
Pf3D7_09_v3_163813_164052_1A,Pf3D7_09_v3,163846,164021,NA,NA
Pf3D7_09_v3_164045_164311_1A,Pf3D7_09_v3,164075,164287,NA,NA
Pf3D7_09_v3_202854_203106_1A,Pf3D7_09_v3,202887,203076,NA,NA
