hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	211	761400	160	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV2	194	480026	172	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	PASS	FALSE
ASV3	240	313860	124	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV4	217	292323	153	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV5	234	272411	126	3D7	PF3D7_1455300	0	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV6	251	271987	76	N	PF3D7_0827100	1	0	PF3D7_0827100	3	0	PASS	PASS	FALSE
ASV7	256	265633	175	DD2	PF3D7_0211700	0	30	PF3D7_0211700	0	0	PASS	PASS	FALSE
ASV8	296	254211	169	N	PSOP24	1	0	PF3D7_0217200	135	3	PASS	PASS	FALSE
ASV9	152	243252	169	N	PfDHFR_1	1	0	PfDHFR_1	1	0	PASS	PASS	FALSE
ASV10	259	231788	90	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV11	206	219727	157	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	PASS	FALSE
ASV12	283	205265	171	3D7	PF3D7_1408100_1	0	0	PF3D7_1035100	138	3	PASS	PASS	FALSE
ASV13	320	194099	171	N	PfTRAP_1	6	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV14	255	184388	173	3D7	PF3D7_0630600	0	0	PF3D7_1246500	118	3	PASS	PASS	FALSE
ASV15	148	183112	168	3D7	RAMA	0	0	RAMA	1	0	PASS	PASS	FALSE
ASV16	251	178074	80	DD2	PF3D7_0827100	2	0	PF3D7_0827100	0	0	PASS	PASS	FALSE
ASV17	165	177266	164	DD2	PF3D7_0806300	1	0	PF3D7_0806300	0	0	PASS	PASS	FALSE
ASV18	172	176005	97	3D7	PF3D7_0401900	0	0	PF3D7_0401900	0	36	PASS	PASS	FALSE
ASV19	211	175912	116	DD2	PF3D7_0504400	1	0	PF3D7_0504400	0	0	PASS	PASS	FALSE
ASV20	243	152140	155	DD2	PF13_0125	1	0	PF13_0125	0	0	PASS	PASS	FALSE
ASV21	234	147718	171	3D7	PF3D7_1008700	0	0	PF3D7_1320700	118	2	PASS	PASS	FALSE
ASV22	160	143202	165	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	PASS	FALSE
ASV23	35	125704	163	N	PfMDR1_3	1	0	PfDHPS_2	20	6	PASS	PASS	FALSE
ASV24	168	118010	151	3D7	PF3D7_1448500	0	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV25	267	116260	166	3D7	PF3D7_1145400	0	0	PF3D7_1353100	133	9	PASS	PASS	FALSE
ASV26	176	110679	138	N	MSRP4	2	0	PF3D7_1018600	81	4	PASS	PASS	FALSE
ASV27	282	109659	110	N	B9	2	0	B9	1	0	PASS	PASS	FALSE
ASV28	259	104517	77	N	PfSERA2_1	5	0	PfSERA2_1	2	0	PASS	PASS	FALSE
ASV29	209	104300	132	3D7	PF3D7_0807800	0	0	PF3D7_0401900	94	1	PASS	PASS	FALSE
ASV30	219	99554	107	N	Pfs16	1	0	Pfs16	1	0	PASS	PASS	FALSE
ASV31	266	96752	158	N	PF3D7_1211900	1	0	PF3D7_1114900	122	7	PASS	PASS	FALSE
ASV32	170	96010	169	DD2	PfDHFR_2	1	0	PfDHFR_2	0	0	PASS	PASS	FALSE
ASV33	222	93529	86	N	PF3D7_0612900	2	0	PF3D7_0612900	2	0	PASS	PASS	FALSE
ASV34	240	91564	32	3D7	PF3D7_0806200	0	0	PF3D7_0806200	3	0	PASS	PASS	FALSE
ASV35	166	88199	105	N	PF11_0373	1	0	PF11_0373	1	0	PASS	PASS	FALSE
ASV36	244	87479	145	DD2	PF3D7_0935400	2	0	PF3D7_0935400	0	0	PASS	PASS	FALSE
ASV37	211	85920	10	N	PF3D7_0419900_2	1	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV38	219	82053	69	3D7	Pfs16	0	0	Pfs16	2	0	PASS	PASS	FALSE
ASV39	222	81404	60	DD2	PF3D7_0612900	2	0	PF3D7_0612900	0	0	PASS	PASS	FALSE
ASV40	274	80100	158	DD2	MSP10	1	0	MSP10	0	0	PASS	PASS	FALSE
ASV41	237	79938	159	3D7	PfKelch13C580Y	0	0	PF3D7_1469600	113	2	PASS	PASS	FALSE
ASV42	240	79438	20	N	PF3D7_0806200	2	0	PF3D7_0806200	1	0	PASS	PASS	FALSE
ASV43	166	78944	153	DD2	PF3D7_0716300	1	0	PF3D7_0716300	0	0	PASS	PASS	FALSE
ASV44	337	78025	137	N	PfTRAP_1	147	17	PfTRAP_1	149	17	FAIL	PASS	FALSE
ASV45	166	77908	70	N	PF11_0373	2	0	PF11_0373	2	0	PASS	PASS	FALSE
ASV46	235	74706	144	3D7	PF3D7_0501800	0	0	PfDHPS_1	99	9	PASS	PASS	FALSE
ASV47	247	72708	82	DD2	PF3D7_1429500	1	0	PF3D7_1429500	0	0	PASS	PASS	FALSE
ASV48	226	72470	168	3D7	PF3D7_1408000	0	0	PF3D7_0710400	98	10	PASS	PASS	FALSE
ASV49	225	67707	127	3D7	PF3D7_0411900_1	0	0	PF3D7_0411900_1	1	0	PASS	PASS	FALSE
ASV50	214	65215	144	3D7	PF3D7_0422500	0	0	PF3D7_0422500	1	0	PASS	PASS	FALSE
ASV51	241	64725	127	N	PF3D7_0519300	2	0	PF3D7_0935400	112	3	PASS	PASS	FALSE
ASV52	234	62572	42	N	PF3D7_1455300	1	0	PF3D7_1455300	2	0	PASS	PASS	FALSE
ASV53	186	60273	65	3D7	PF3D7_0220800	0	0	PF3D7_0220800	1	0	PASS	PASS	FALSE
ASV54	186	57677	48	N	PF3D7_0220800	1	0	PF3D7_0220800	2	0	PASS	PASS	FALSE
ASV55	276	57639	136	3D7	PF3D7_0525100	0	0	PF3D7_0525100	2	0	PASS	PASS	FALSE
ASV56	282	53643	53	DD2	B9	1	0	B9	0	0	PASS	PASS	FALSE
ASV57	254	53101	88	DD2	PF3D7_1340400	1	0	PF3D7_1340400	0	0	PASS	PASS	FALSE
ASV58	154	52824	59	N	PF3D7_0401900	1	18	PF3D7_0724700	74	1	PASS	PASS	FALSE
ASV59	226	51297	100	3D7	GAMA	0	0	RhopH3	108	6	PASS	PASS	FALSE
ASV60	303	50320	133	3D7	PF3D7_0802000	0	0	PF3D7_0802000	1	0	PASS	PASS	FALSE
ASV61	236	47709	128	N	PF3D7_1407800	1	0	PfSERA3	112	3	PASS	PASS	FALSE
ASV62	226	45554	74	N	GAMA	1	0	RhopH3	108	6	PASS	PASS	FALSE
ASV63	211	44820	58	3D7	PF3D7_0504400	0	0	PF3D7_0504400	1	0	PASS	PASS	FALSE
ASV64	178	43892	161	3D7	Pf113	0	0	PF3D7_0830800_1	81	1	PASS	PASS	FALSE
ASV65	163	42286	160	3D7	PF3D7_1464700	0	0	PF3D7_1464700	1	0	PASS	PASS	FALSE
ASV66	169	40280	124	N	PF3D7_1329100	1	0	PF11_0373	71	3	PASS	PASS	FALSE
ASV67	250	38137	117	3D7	PF3D7_0411900_2	0	0	PF3D7_0411900_2	1	0	PASS	PASS	FALSE
ASV68	234	37436	110	N	PF3D7_0728200	2	0	PF3D7_1455300	112	6	PASS	PASS	FALSE
ASV69	218	36969	164	N	GEST	3	0	GEST	1	0	PASS	PASS	FALSE
ASV70	179	36933	155	N	PF3D7_0104100_1	2	0	PF3D7_1447900	92	1	PASS	PASS	FALSE
ASV71	247	36608	83	N	PF3D7_1429500	2	0	PF3D7_1429500	1	0	PASS	PASS	FALSE
ASV72	261	35101	103	3D7	PF10_0119	0	0	PF3D7_0503200	109	0	PASS	PASS	FALSE
ASV73	217	34106	13	N	PF3D7_1473700	2	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV74	209	31549	36	N	PF3D7_0807800	2	0	PF3D7_0729700	83	10	PASS	PASS	FALSE
ASV75	279	31329	136	3D7	PF3D7_1354200	0	0	PF3D7_0217200	111	16	PASS	PASS	FALSE
ASV76	145	31224	137	3D7	CS	0	0	CS	1	0	PASS	PASS	FALSE
ASV77	208	30093	167	3D7	MSRP3	0	0	PfMDR1_1	91	4	PASS	PASS	FALSE
ASV78	190	29325	57	N	PF3D7_1418100	2	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV79	263	27013	155	N	PF3D7_1302700	1	0	PF3D7_1302700	1	0	PASS	PASS	FALSE
ASV80	230	26956	160	3D7	PF3D7_1110200	0	0	PF3D7_1469600	106	5	PASS	PASS	FALSE
ASV81	251	26905	11	N	PF3D7_0827100	2	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV82	279	26769	126	N	PF3D7_1472300	1	3	PF3D7_1472300	0	3	PASS	PASS	FALSE
ASV83	155	26744	158	DD2	PF3D7_0724700	1	0	PF3D7_0724700	0	0	PASS	PASS	FALSE
ASV84	248	26470	58	N	PF3D7_0615900	3	3	PF3D7_0615900	2	0	PASS	PASS	FALSE
ASV85	222	26428	20	N	PF3D7_0612900	3	0	PF3D7_0612900	1	0	PASS	PASS	FALSE
ASV86	196	26280	77	N	PfAMA_1	7	0	PfAMA_1	11	0	PASS	PASS	FALSE
ASV87	176	26078	36	N	MSRP4	1	0	PF3D7_1018600	82	4	PASS	PASS	FALSE
ASV88	154	26050	167	3D7	MAL13P1.50	0	0	PF3D7_0724700	73	1	PASS	PASS	FALSE
ASV89	190	25563	30	N	PF3D7_1418100	2	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV90	218	25461	130	3D7	PF3D7_1007900	0	0	PF3D7_0422500	99	4	PASS	PASS	FALSE
ASV91	285	25413	89	DD2	PF3D7_1035700	4	0	PF3D7_1035700	0	0	PASS	PASS	FALSE
ASV92	190	25383	45	3D7	PF3D7_1418100	0	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV93	276	25224	162	N	PF3D7_1353100	2	0	PF3D7_1353100	1	0	PASS	PASS	FALSE
ASV94	234	24503	91	3D7	PF3D7_0207300	0	0	PF3D7_0207300	4	0	PASS	PASS	FALSE
ASV95	164	24302	123	DD2	PF3D7_1239800_1	1	0	PF3D7_1239800_1	0	0	PASS	PASS	FALSE
ASV96	259	23652	132	DD2	PF3D7_1114900	1	0	PF3D7_1114900	0	0	PASS	PASS	FALSE
ASV97	188	23252	148	N	PF3D7_1475900	6	0	PF3D7_1475900	4	0	PASS	PASS	FALSE
ASV98	248	23143	63	N	PF3D7_0615900	2	3	PF3D7_0615900	1	0	PASS	PASS	FALSE
ASV99	249	23049	145	3D7	PF3D7_0809400	0	0	PF3D7_0809400	1	0	PASS	PASS	FALSE
ASV100	274	22497	80	3D7	PF3D7_1429800	0	0	PF3D7_1035700	133	11	PASS	PASS	FALSE
ASV101	269	22474	133	N	PF3D7_1352900	3	0	PF3D7_1352900	1	0	PASS	PASS	FALSE
ASV102	261	22246	99	N	PF3D7_0503200	2	0	PF3D7_0503200	1	0	PASS	PASS	FALSE
ASV103	251	22012	15	3D7	PF3D7_0827100	0	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV104	186	21712	154	3D7	PF3D7_1346400	0	0	PF3D7_1346400	1	0	PASS	PASS	FALSE
ASV105	190	21494	13	N	PF3D7_0401900	1	18	PF3D7_0401900	1	18	PASS	PASS	FALSE
ASV106	243	20586	20	N	PF13_0125	2	0	PF13_0125	1	0	PASS	PASS	FALSE
ASV107	225	19824	48	DD2	PF3D7_0411900_1	1	0	PF3D7_0411900_1	0	0	PASS	PASS	FALSE
ASV108	190	19754	37	DD2	PF3D7_1418100	1	0	PF3D7_1418100	0	0	PASS	PASS	FALSE
ASV109	169	18932	40	3D7	PF3D7_1329100	0	0	PF11_0373	72	3	PASS	PASS	FALSE
ASV110	294	18901	129	3D7	PF3D7_1466800	0	0	PF3D7_1465800	120	8	PASS	PASS	FALSE
ASV111	254	18892	52	N	PF3D7_1340400	2	0	PF3D7_1340400	1	0	PASS	PASS	FALSE
ASV112	286	18339	84	N	PF3D7_1035100	5	0	PF3D7_1035100	2	0	PASS	PASS	FALSE
